precision,recall,f1-score,support
0.93,0.94,0.94,17135
0.84,0.84,0.84,5975
0.96,0.96,0.96,345
0.91,0.79,0.84,975
,,0.91,24430
0.91,0.88,0.9,24430
0.91,0.91,0.91,24430
