precision,recall,f1-score,support
0.89,0.91,0.9,1535
0.74,0.7,0.72,435
0.78,0.8,0.79,70
0.89,0.86,0.88,420
,,0.86,2460
0.83,0.82,0.82,2460
0.86,0.86,0.86,2460
